TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
MIN,MIN vs. CHI,4/10/2022,L,240,120,46,91,50.5,11,31,35.5,17,22,77.3,9,23,32,30,7,9,13,23,-4
CHI,CHI @ MIN,4/10/2022,W,240,124,44,83,53,10,21,47.6,26,33,78.8,16,32,48,22,9,3,23,22,4
PHI,PHI vs. DET,4/10/2022,W,240,118,46,88,52.3,5,25,20,21,23,91.3,10,32,42,25,13,6,11,23,12
DET,DET @ PHI,4/10/2022,L,240,106,38,83,45.8,11,34,32.4,19,29,65.5,15,27,42,26,4,4,20,16,-12
MEM,MEM vs. BOS,4/10/2022,L,240,110,39,102,38.2,15,47,31.9,17,27,63,19,26,45,27,11,6,10,16,-29
BOS,BOS @ MEM,4/10/2022,W,240,139,54,99,54.5,18,48,37.5,13,13,100,14,42,56,34,5,2,15,20,29
LAL,LAL @ DEN,4/10/2022,W,265,146,44,94,46.8,16,43,37.2,42,47,89.4,13,37,50,26,4,6,13,24,5
DEN,DEN vs. LAL,4/10/2022,L,265,141,49,100,49,15,47,31.9,28,36,77.8,11,34,45,33,10,7,14,34,-5
ORL,ORL vs. MIA,4/10/2022,W,240,125,45,91,49.5,23,58,39.7,12,14,85.7,6,42,48,33,4,3,10,16,14
MIA,MIA @ ORL,4/10/2022,L,240,111,40,94,42.6,19,50,38,12,16,75,10,37,47,20,5,4,10,13,-14
NYK,NYK vs. TOR,4/10/2022,W,240,105,40,87,46,15,43,34.9,10,12,83.3,10,38,48,32,6,5,17,17,11
TOR,TOR @ NYK,4/10/2022,L,240,94,36,92,39.1,12,42,28.6,10,11,90.9,9,34,43,27,10,2,14,17,-11
BKN,BKN vs. IND,4/10/2022,W,240,134,52,81,64.2,8,22,36.4,22,25,88,8,42,50,30,5,6,21,16,8
IND,IND @ BKN,4/10/2022,L,240,126,47,104,45.2,19,46,41.3,13,19,68.4,11,19,30,32,16,1,7,23,-8
HOU,HOU vs. ATL,4/10/2022,L,240,114,41,89,46.1,17,46,37,15,20,75,6,28,34,24,4,4,8,19,-16
ATL,ATL @ HOU,4/10/2022,W,240,130,45,87,51.7,21,38,55.3,19,24,79.2,13,37,50,29,4,4,13,19,16
WAS,WAS @ CHA,4/10/2022,L,240,108,42,94,44.7,8,23,34.8,16,26,61.5,17,26,43,25,12,3,11,16,-16
CHA,CHA vs. WAS,4/10/2022,W,240,124,48,89,53.9,18,33,54.5,10,14,71.4,11,37,48,34,6,9,20,20,16
CLE,CLE vs. MIL,4/10/2022,W,240,133,51,94,54.3,19,38,50,12,17,70.6,10,38,48,39,5,5,12,26,18
MIL,MIL @ CLE,4/10/2022,L,240,115,39,88,44.3,12,30,40,25,32,78.1,8,33,41,27,7,2,12,14,-18
PHX,PHX vs. SAC,4/10/2022,L,240,109,42,103,40.8,14,47,29.8,11,15,73.3,18,32,50,27,9,7,11,25,-7
SAC,SAC @ PHX,4/10/2022,W,240,116,40,76,52.6,14,26,53.8,22,30,73.3,2,38,40,26,9,7,15,18,7
POR,POR vs. UTA,4/10/2022,L,240,80,31,83,37.3,9,34,26.5,9,12,75,5,27,32,21,11,8,16,27,-31
UTA,UTA @ POR,4/10/2022,W,240,111,37,82,45.1,9,36,25,28,38,73.7,15,45,60,23,8,6,17,16,31
NOP,NOP vs. GSW,4/10/2022,L,240,107,42,99,42.4,14,40,35,9,12,75,18,24,42,24,10,0,12,17,-21
GSW,GSW @ NOP,4/10/2022,W,240,128,49,81,60.5,19,33,57.6,11,13,84.6,7,34,41,33,5,2,17,15,21
SAS,SAS @ DAL,4/10/2022,L,240,120,43,89,48.3,11,31,35.5,23,23,100,7,28,35,26,15,3,8,17,-10
DAL,DAL vs. SAS,4/10/2022,W,240,130,46,85,54.1,20,36,55.6,18,23,78.3,10,33,43,34,5,3,16,16,10
LAC,LAC vs. OKC,4/10/2022,W,240,138,54,97,55.7,18,35,51.4,12,14,85.7,12,45,57,34,4,8,9,11,50
OKC,OKC @ LAC,4/10/2022,L,240,88,37,98,37.8,9,34,26.5,5,9,55.6,12,28,40,17,6,2,10,16,-50
SAC,SAC @ LAC,4/9/2022,L,240,98,38,86,44.2,7,28,25,15,24,62.5,7,35,42,24,12,2,13,16,-19
LAC,LAC vs. SAC,4/9/2022,W,240,117,42,86,48.8,21,43,48.8,12,15,80,10,38,48,29,7,3,17,22,19
SAS,SAS vs. GSW,4/9/2022,L,240,94,32,80,40,10,31,32.3,20,27,74.1,4,37,41,19,5,3,12,24,-6
GSW,GSW @ SAS,4/9/2022,W,240,100,33,81,40.7,8,32,25,26,33,78.8,13,38,51,23,8,1,12,22,6
NOP,NOP @ MEM,4/9/2022,L,240,114,41,91,45.1,6,30,20,26,35,74.3,9,20,29,23,10,3,16,22,-27
MEM,MEM vs. NOP,4/9/2022,W,240,141,53,90,58.9,18,35,51.4,17,23,73.9,13,35,48,41,6,9,19,24,27
IND,IND @ PHI,4/9/2022,L,240,120,41,78,52.6,10,23,43.5,28,36,77.8,7,24,31,28,8,6,17,22,-13
PHI,PHI vs. IND,4/9/2022,W,240,133,50,90,55.6,12,34,35.3,21,27,77.8,14,28,42,37,14,3,15,24,13
OKC,OKC @ LAL,4/8/2022,L,240,101,40,88,45.5,6,29,20.7,15,19,78.9,9,35,44,21,5,3,14,26,-19
LAL,LAL vs. OKC,4/8/2022,W,240,120,41,82,50,9,31,29,29,39,74.4,7,38,45,23,8,4,10,17,19
PHX,PHX @ UTA,4/8/2022,W,240,111,46,92,50,6,19,31.6,13,15,86.7,11,35,46,27,7,3,13,25,6
UTA,UTA vs. PHX,4/8/2022,L,240,105,35,88,39.8,11,38,28.9,24,33,72.7,15,29,44,20,8,4,11,18,-6
DAL,DAL vs. POR,4/8/2022,W,240,128,42,79,53.2,20,45,44.4,24,31,77.4,9,42,51,25,9,5,15,19,50
POR,POR @ DAL,4/8/2022,L,240,78,31,83,37.3,7,32,21.9,9,12,75,5,24,29,20,9,2,17,23,-50
ATL,ATL @ MIA,4/8/2022,L,240,109,42,88,47.7,8,34,23.5,17,19,89.5,13,30,43,17,9,0,15,23,-4
MIA,MIA vs. ATL,4/8/2022,W,240,113,40,72,55.6,11,26,42.3,22,28,78.6,4,29,33,20,9,1,17,17,4
CHI,CHI vs. CHA,4/8/2022,L,240,117,44,82,53.7,13,24,54.2,16,20,80,6,25,31,25,7,1,12,12,-16
CHA,CHA @ CHI,4/8/2022,W,240,133,52,86,60.5,19,40,47.5,10,10,100,8,30,38,34,7,4,11,21,16
BKN,BKN vs. CLE,4/8/2022,W,240,118,43,92,46.7,12,32,37.5,20,21,95.2,13,32,45,30,5,8,11,20,11
CLE,CLE @ BKN,4/8/2022,L,240,107,40,82,48.8,8,27,29.6,19,24,79.2,10,21,31,19,4,4,9,20,-11
TOR,TOR vs. HOU,4/8/2022,W,240,117,44,96,45.8,7,29,24.1,22,23,95.7,13,28,41,20,13,4,10,18,2
HOU,HOU @ TOR,4/8/2022,L,240,115,43,81,53.1,10,29,34.5,19,24,79.2,7,34,41,24,6,3,19,19,-2
