,team,min,pts,fgm,fga,threepm,threepa,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,point_diff
0,ORL,240,98,37,79,6,25,18,24,9,32,41,23,4,4,11,19,-4
1,NYK,240,102,37,81,15,43,13,19,11,32,43,21,6,2,11,22,4
2,LAL,240,130,49,85,14,31,18,26,6,35,41,27,8,3,21,19,-3
3,OKC,240,133,49,94,17,34,18,20,7,30,37,32,12,2,13,18,3
4,MIN,240,112,40,85,10,35,22,26,8,28,36,24,6,7,17,16,-34
5,DEN,240,146,58,93,13,27,17,22,6,38,44,44,12,5,11,21,34
6,BKN,240,112,38,79,9,28,27,31,5,31,36,25,11,2,17,21,-4
7,MEM,240,104,39,81,11,33,15,21,5,34,39,22,10,7,14,21,15
8,CHI,240,89,32,87,7,35,18,27,11,38,49,24,9,3,20,16,-15
9,PHX,240,116,43,92,9,31,21,28,16,32,48,31,10,4,15,24,4
10,NOP,240,116,45,91,12,32,14,21,13,34,47,28,8,2,10,19,9
11,ATL,240,107,38,85,12,36,19,25,10,31,41,30,4,6,12,21,-9
12,BKN,240,116,41,84,16,31,18,22,8,34,42,21,4,5,16,26,-8
13,CLE,240,114,44,78,12,29,14,20,7,36,43,26,9,6,17,15,23
14,WAS,240,91,35,82,6,28,15,19,7,30,37,20,8,5,14,18,-23
15,BOS,240,111,39,83,16,37,17,21,10,41,51,25,2,5,12,22,12
16,DET,240,99,37,87,9,33,16,21,9,33,42,22,9,6,9,20,-12
17,LAC,240,124,44,92,12,30,24,30,11,35,46,20,11,5,9,19,8
18,CHI,240,128,50,89,6,22,22,25,7,42,49,27,10,6,14,12,24
19,SAS,240,104,40,90,8,26,16,17,6,32,38,25,7,3,18,23,-24
20,SAC,240,140,52,89,21,41,15,18,7,28,35,38,9,5,10,22,20
21,HOU,240,120,44,88,13,32,19,24,11,28,39,27,5,4,14,15,-20
22,UTA,240,111,41,87,6,31,23,26,10,27,37,21,4,4,13,23,-13
23,OKC,240,114,44,91,11,32,15,21,7,29,36,21,8,3,11,10,-27
24,GSW,240,141,56,97,26,50,3,7,11,34,45,43,6,3,16,17,27
25,MIL,240,127,47,87,16,42,17,21,7,48,55,27,4,2,16,27,19
26,POR,240,108,37,91,9,36,25,29,1,27,28,23,5,2,9,20,-19
