Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,17,240.0,42.1,85.9,.490,13.8,36.2,.382,28.3,49.7,.569,16.1,21.3,.754,9.9,34.5,44.4,28.1,6.8,5.2,14.8,21.5,114.1
2,Memphis Grizzlies,12,240.0,39.8,91.3,.435,13.1,35.8,.365,26.7,55.5,.480,19.9,27.1,.735,12.4,33.4,45.8,25.2,9.2,6.1,14.0,20.8,112.5
3,Denver Nuggets,5,240.0,39.4,82.8,.476,11.2,31.4,.357,28.2,51.4,.549,20.0,25.2,.794,11.2,30.6,41.8,25.0,7.0,3.4,16.4,25.0,110.0
4,New Orleans Pelicans,6,240.0,39.0,84.3,.462,9.3,26.3,.354,29.7,58.0,.511,22.5,28.8,.780,15.2,30.5,45.7,21.3,6.3,3.5,14.5,21.2,109.8
5,Minnesota Timberwolves,6,240.0,36.3,82.0,.443,13.8,35.7,.388,22.5,46.3,.486,22.7,28.0,.810,7.0,33.0,40.0,22.8,8.2,7.8,17.7,26.8,109.2
6,Brooklyn Nets,4,240.0,39.3,78.0,.503,11.5,27.3,.422,27.8,50.8,.547,19.0,25.8,.738,8.5,25.5,34.0,22.3,8.0,6.5,15.3,24.8,109.0
7,Boston Celtics,19,240.0,37.3,81.7,.457,13.8,37.3,.371,23.5,44.4,.528,19.3,23.8,.810,8.7,33.9,42.6,24.7,6.5,6.3,13.9,21.7,107.8
8,Phoenix Suns,13,240.0,41.2,82.8,.497,9.8,27.2,.363,31.3,55.6,.563,15.5,18.9,.817,9.5,30.7,40.2,25.7,6.6,3.8,13.3,22.5,107.6
9,Dallas Mavericks,18,240.0,36.3,80.8,.449,15.8,41.5,.380,20.5,39.3,.521,18.0,23.3,.771,6.5,30.0,36.5,19.2,7.2,2.8,10.2,21.1,106.3
10,Philadelphia 76ers,12,242.1,36.4,78.3,.465,12.4,33.3,.373,24.0,44.9,.534,19.3,22.7,.849,7.7,31.3,39.0,21.8,6.1,4.3,14.8,20.6,104.5
11,Miami Heat,18,240.0,38.0,85.3,.445,10.9,34.8,.313,27.1,50.6,.536,17.3,21.6,.804,9.8,31.2,41.1,21.9,8.3,3.7,12.9,21.4,104.2
12,Toronto Raptors,6,244.2,38.3,86.0,.446,9.8,32.8,.299,28.5,53.2,.536,16.7,21.0,.794,10.0,27.5,37.5,20.7,6.7,4.8,10.0,22.2,103.2
13,Milwaukee Bucks,12,240.0,38.5,88.0,.438,10.6,32.3,.327,27.9,55.7,.501,15.2,20.8,.731,9.8,40.7,50.4,20.8,6.3,4.5,13.8,19.2,102.8
14,Utah Jazz,6,240.0,35.0,79.0,.443,8.2,29.8,.274,26.8,49.2,.546,20.8,26.5,.786,9.3,35.5,44.8,17.2,4.0,3.7,11.8,22.0,99.0
15,Atlanta Hawks,5,240.0,34.4,78.2,.440,11.4,35.0,.326,23.0,43.2,.532,17.2,22.0,.782,8.6,30.8,39.4,18.6,5.8,2.4,16.4,21.6,97.4
16,Chicago Bulls,5,240.0,36.4,90.2,.404,10.4,36.8,.283,26.0,53.4,.487,12.0,14.4,.833,8.2,35.8,44.0,23.0,7.8,3.2,13.0,18.6,95.2
