team_name,abbreviation,team_logo_url,,,
Minnesota Timberwolves,MIN,https://www.nba.com/stats/media/img/teams/logos/MIN_logo.svg,,,
Memphis Grizzlies,MEM,https://www.nba.com/stats/media/img/teams/logos/MEM_logo.svg,,,
Milwaukee Bucks,MIL,https://www.nba.com/stats/media/img/teams/logos/MIL_logo.svg,,,
Charlotte Hornets,CHA,https://www.nba.com/stats/media/img/teams/logos/CHA_logo.svg,,,
Phoenix Suns,PHX,https://www.nba.com/stats/media/img/teams/logos/PHX_logo.svg,,,
Atlanta Hawks,ATL,https://www.nba.com/stats/media/img/teams/logos/ATL_logo.svg,,,
Utah Jazz,UTA,https://www.nba.com/stats/media/img/teams/logos/UTA_logo.svg,,,
San Antonio Spurs,SAS,https://www.nba.com/stats/media/img/teams/logos/SAS_logo.svg,,,
Brooklyn Nets,BKN,https://www.nba.com/stats/media/img/teams/logos/BKN_logo.svg,,,
Denver Nuggets,DEN,https://www.nba.com/stats/media/img/teams/logos/DEN_logo.svg,,,
Los Angeles Lakers,LAL,https://www.nba.com/stats/media/img/teams/logos/LAL_logo.svg,,,
Boston Celtics,BOS,https://www.nba.com/stats/media/img/teams/logos/BOS_logo.svg,,,
Chicago Bulls,CHI,https://www.nba.com/stats/media/img/teams/logos/CHI_logo.svg,,,
Indiana Pacers,IND,https://www.nba.com/stats/media/img/teams/logos/IND_logo.svg,,,
Golden State Warriors,GSW,https://www.nba.com/stats/media/img/teams/logos/GSW_logo.svg,,,
Sacramento Kings,SAC,https://www.nba.com/stats/media/img/teams/logos/SAC_logo.svg,,,
Miami Heat,MIA,https://www.nba.com/stats/media/img/teams/logos/MIA_logo.svg,,,
Philadelphia 76ers,PHI,https://www.nba.com/stats/media/img/teams/logos/PHI_logo.svg,,,
Houston Rockets,HOU,https://www.nba.com/stats/media/img/teams/logos/HOU_logo.svg,,,
Toronto Raptors,TOR,https://www.nba.com/stats/media/img/teams/logos/TOR_logo.svg,,,
New Orleans Pelicans,NOP,https://www.nba.com/stats/media/img/teams/logos/NOP_logo.svg,,,
Washington Wizards,WAS,https://www.nba.com/stats/media/img/teams/logos/WAS_logo.svg,,,
Los Angeles Clippers,LAC,https://www.nba.com/stats/media/img/teams/logos/LAC_logo.svg,,,
Dallas Mavericks,DAL,https://www.nba.com/stats/media/img/teams/logos/DAL_logo.svg,,,
Cleveland Cavaliers,CLE,https://www.nba.com/stats/media/img/teams/logos/CLE_logo.svg,,,
New York Knicks,NYK,https://www.nba.com/stats/media/img/teams/logos/NYK_logo.svg,,,
Portland Trail Blazers,POR,https://www.nba.com/stats/media/img/teams/logos/POR_logo.svg,,,
Detroit Pistons,DET,https://www.nba.com/stats/media/img/teams/logos/DET_logo.svg,,,
Orlando Magic,ORL,https://www.nba.com/stats/media/img/teams/logos/ORL_logo.svg,,,
Oklahoma City Thunder,OKC,https://www.nba.com/stats/media/img/teams/logos/OKC_logo.svg,,,
