,team,min,pts,fgm,fga,threepm,threepa,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,point_diff
0,ATL,240,107,39,80,9,31,20,22,10,32,42,15,5,3,13,19,6
1,CLE,240,101,37,81,13,36,14,17,8,28,36,23,8,4,14,20,-6
2,NOP,240,105,43,88,6,22,13,25,17,37,54,20,2,3,9,26,4
3,LAC,240,101,35,85,9,36,22,34,12,33,45,20,7,3,8,21,-4
4,ATL,240,132,49,94,16,32,18,25,12,42,54,31,5,6,12,25,29
5,NOP,240,113,44,81,8,20,17,23,8,45,53,25,4,7,14,22,10
6,SAS,240,103,37,91,13,34,16,22,8,26,34,19,4,3,6,20,-10
7,CHA,240,103,34,90,13,41,22,29,11,30,41,22,4,4,14,24,-29
8,CLE,240,108,41,92,9,26,17,20,10,30,40,26,9,2,15,21,-7
9,LAC,240,104,34,78,16,35,20,27,7,32,39,19,5,5,17,28,-5
10,BKN,240,115,45,84,9,28,16,24,10,33,43,33,9,9,14,20,7
11,MIN,240,109,36,83,14,35,23,37,12,37,49,19,10,2,13,26,5
