,team,min,pts,fgm,fga,threepm,threepa,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,point_diff
0,CHI,240,124,44,83,10,21,26,33,16,32,48,22,9,3,23,22,4
1,MIN,240,120,46,91,11,31,17,22,9,23,32,30,7,9,13,23,-4
2,PHI,240,118,46,88,5,25,21,23,10,32,42,25,13,6,11,23,12
3,DET,240,106,38,83,11,34,19,29,15,27,42,26,4,4,20,16,-12
4,BOS,240,139,54,99,18,48,13,13,14,42,56,34,5,2,15,20,29
5,MEM,240,110,39,102,15,47,17,27,19,26,45,27,11,6,10,16,-29
6,LAL,265,146,44,94,16,43,42,47,13,37,50,26,4,6,13,24,5
7,DEN,265,141,49,100,15,47,28,36,11,34,45,33,10,7,14,34,-5
8,ORL,240,125,45,91,23,58,12,14,6,42,48,33,4,3,10,16,14
9,MIA,240,111,40,94,19,50,12,16,10,37,47,20,5,4,10,13,-14
10,NYK,240,105,40,87,15,43,10,12,10,38,48,32,6,5,17,17,11
11,TOR,240,94,36,92,12,42,10,11,9,34,43,27,10,2,14,17,-11
12,BKN,240,134,52,81,8,22,22,25,8,42,50,30,5,6,21,16,8
13,IND,240,126,47,104,19,46,13,19,11,19,30,32,16,1,7,23,-8
14,ATL,240,130,45,87,21,38,19,24,13,37,50,29,4,4,13,19,16
15,HOU,240,114,41,89,17,46,15,20,6,28,34,24,4,4,8,19,-16
16,WAS,240,108,42,94,8,23,16,26,17,26,43,25,12,3,11,16,-16
17,CHA,240,124,48,89,18,33,10,14,11,37,48,34,6,9,20,20,16
18,CLE,240,133,51,94,19,38,12,17,10,38,48,39,5,5,12,26,18
19,MIL,240,115,39,88,12,30,25,32,8,33,41,27,7,2,12,14,-18
20,PHX,240,109,42,103,14,47,11,15,18,32,50,27,9,7,11,25,-7
21,SAC,240,116,40,76,14,26,22,30,2,38,40,26,9,7,15,18,7
22,POR,240,80,31,83,9,34,9,12,5,27,32,21,11,8,16,27,-31
23,UTA,240,111,37,82,9,36,28,38,15,45,60,23,8,6,17,16,31
24,GSW,240,128,49,81,19,33,11,13,7,34,41,33,5,2,17,15,21
25,NOP,240,107,42,99,14,40,9,12,18,24,42,24,10,0,12,17,-21
26,SAS,240,120,43,89,11,31,23,23,7,28,35,26,15,3,8,17,-10
27,DAL,240,130,46,85,20,36,18,23,10,33,43,34,5,3,16,16,10
28,OKC,240,88,37,98,9,34,5,9,12,28,40,17,6,2,10,16,-50
29,LAC,240,138,54,97,18,35,12,14,12,45,57,34,4,8,9,11,50
30,SAC,240,98,38,86,7,28,15,24,7,35,42,24,12,2,13,16,-19
31,LAC,240,117,42,86,21,43,12,15,10,38,48,29,7,3,17,22,19
32,SAS,240,94,32,80,10,31,20,27,4,37,41,19,5,3,12,24,-6
33,GSW,240,100,33,81,8,32,26,33,13,38,51,23,8,1,12,22,6
34,NOP,240,114,41,91,6,30,26,35,9,20,29,23,10,3,16,22,-27
35,MEM,240,141,53,90,18,35,17,23,13,35,48,41,6,9,19,24,27
36,IND,240,120,41,78,10,23,28,36,7,24,31,28,8,6,17,22,-13
37,PHI,240,133,50,90,12,34,21,27,14,28,42,37,14,3,15,24,13
38,LAL,240,120,41,82,9,31,29,39,7,38,45,23,8,4,10,17,19
39,OKC,240,101,40,88,6,29,15,19,9,35,44,21,5,3,14,26,-19
40,UTA,240,105,35,88,11,38,24,33,15,29,44,20,8,4,11,18,-6
41,PHX,240,111,46,92,6,19,13,15,11,35,46,27,7,3,13,25,6
42,DAL,240,128,42,79,20,45,24,31,9,42,51,25,9,5,15,19,50
