Rk,Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,Boston Celtics,26.3,13,6,.684,13,6,113.1,106.4,+6.7,95.3,.292,.457,.584,,.541,13.1,21.4,.236,,.493,12.1,76.5,.193
2,Golden State Warriors,28.1,12,5,.706,11,6,116.9,112.4,+4.5,97.6,.248,.421,.599,,.571,13.4,24.2,.187,,.529,11.6,77.8,.211
3,Miami Heat,28.3,11,7,.611,11,7,110.6,106.6,+4.0,94.2,.253,.408,.550,,.509,12.0,23.3,.203,,.520,14.9,79.4,.251
4,Memphis Grizzlies,23.9,6,6,.500,7,5,110.2,107.8,+2.4,102.1,.297,.392,.545,,.507,11.9,25.8,.218,,.530,15.6,77.7,.211
5,Milwaukee Bucks,29.5,7,5,.583,7,5,104.4,102.8,+1.6,98.5,.236,.367,.529,,.498,12.4,21.6,.172,,.499,11.9,83.8,.168
6,Dallas Mavericks,27.1,9,9,.500,9,9,114.9,114.1,+0.8,92.6,.289,.513,.584,,.546,10.1,15.7,.223,,.539,12.8,74.7,.214
7,Philadelphia 76ers,27.4,6,6,.500,6,6,112.3,112.0,+0.3,92.2,.290,.426,.592,,.545,14.3,20.4,.246,,.512,11.0,75.8,.207
8,Phoenix Suns,27.8,7,6,.538,6,7,115.6,116.7,-1.1,93.1,.229,.328,.591,,.557,12.7,24.2,.187,,.539,12.2,73.8,.237
9,New Orleans Pelicans,25.5,2,4,.333,3,3,117.6,119.2,-1.6,93.4,.342,.312,.566,,.518,13.0,35.0,.267,,.575,10.7,80.3,.193
10,Brooklyn Nets,29.5,0,4,.000,1,3,116.3,121.1,-4.8,93.8,.330,.349,.610,,.577,14.6,23.0,.244,,.562,12.9,69.9,.223
11,Minnesota Timberwolves,24.8,2,4,.333,2,4,106.4,111.8,-5.4,102.6,.341,.435,.579,,.527,15.8,17.1,.276,,.519,13.6,72.5,.268
12,Utah Jazz,29.1,2,4,.333,2,4,108.8,115.0,-6.2,91.0,.335,.378,.546,,.495,11.5,22.8,.264,,.540,8.7,85.5,.217
13,Denver Nuggets,28.1,1,4,.200,1,4,113.6,121.8,-8.2,96.9,.304,.379,.586,,.543,14.9,28.0,.242,,.608,12.2,81.4,.230
14,Toronto Raptors,25.3,2,4,.333,2,4,111.2,120.2,-9.0,91.2,.244,.382,.542,,.503,9.5,23.0,.194,,.576,14.0,76.7,.275
15,Atlanta Hawks,25.5,1,4,.200,1,4,102.3,114.9,-12.6,95.2,.281,.448,.554,,.513,15.7,21.3,.220,,.542,12.2,79.0,.194
16,Chicago Bulls,26.4,1,4,.200,1,4,94.9,109.4,-14.5,100.3,.160,.408,.493,,.461,11.9,15.8,.133,,.553,13.9,81.4,.170
