Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Miami Heat,18,240.0,34.7,77.8,.446,11.5,34.0,.338,23.2,43.8,.529,19.6,23.9,.817,8.1,32.3,40.4,20.6,6.2,4.6,15.5,21.4,100.4
2,Milwaukee Bucks,12,240.0,36.6,86.9,.421,13.5,39.7,.340,23.1,47.3,.489,14.6,18.1,.806,7.8,35.4,43.3,24.0,6.7,5.5,12.8,20.2,101.3
3,Boston Celtics,19,240.0,37.3,86.0,.433,10.3,31.6,.324,27.0,54.4,.497,16.6,21.5,.772,10.4,31.9,42.4,20.2,7.5,4.8,13.2,21.7,101.4
4,Philadelphia 76ers,12,242.1,38.5,84.7,.455,9.7,32.3,.299,28.8,52.3,.551,17.5,21.8,.805,10.0,30.0,40.0,21.1,7.1,4.2,11.7,20.5,104.2
5,Utah Jazz,6,240.0,35.8,80.7,.444,15.5,41.8,.371,20.3,38.8,.524,17.5,22.2,.789,6.0,31.7,37.7,19.3,6.5,2.3,8.7,23.2,104.7
6,Dallas Mavericks,18,240.0,38.9,81.7,.477,10.2,29.0,.352,28.7,52.7,.545,17.5,21.9,.799,10.2,34.9,45.1,23.5,5.1,3.6,13.4,22.1,105.6
7,Phoenix Suns,13,240.0,38.2,82.6,.462,12.7,33.2,.383,25.5,49.5,.515,19.6,25.3,.775,10.9,29.7,40.6,19.3,7.7,3.0,13.0,21.2,108.6
8,Atlanta Hawks,5,240.0,39.8,85.6,.465,13.2,38.4,.344,26.6,47.2,.564,16.6,21.2,.783,8.2,31.8,40.0,25.4,9.4,3.0,13.2,23.4,109.4
9,Golden State Warriors,17,240.0,38.5,86.5,.445,14.5,38.9,.374,23.9,47.6,.502,18.2,23.8,.767,9.8,31.2,41.0,24.2,7.7,4.5,12.8,20.0,109.7
10,Chicago Bulls,5,240.0,40.6,86.0,.472,14.0,36.8,.380,26.6,49.2,.541,14.6,21.2,.689,8.2,43.6,51.8,23.4,6.4,4.8,15.4,17.8,109.8
11,Memphis Grizzlies,12,240.0,39.1,86.6,.451,13.7,37.6,.364,25.4,49.0,.519,18.3,22.8,.802,9.6,35.7,45.3,25.0,6.8,6.8,17.9,23.8,110.1
12,New Orleans Pelicans,6,240.0,43.3,82.8,.523,8.7,27.2,.319,34.7,55.7,.623,16.0,19.8,.807,7.5,28.2,35.7,26.8,7.8,4.0,11.0,22.7,111.3
13,Toronto Raptors,6,244.2,38.2,78.2,.488,13.7,33.5,.408,24.5,44.7,.549,21.5,25.3,.849,8.3,33.5,41.8,24.0,5.2,4.8,14.5,20.3,111.5
14,Brooklyn Nets,4,240.0,41.3,84.3,.490,12.3,34.5,.355,29.0,49.8,.583,18.8,22.8,.824,11.0,28.5,39.5,25.8,8.8,4.0,14.0,24.5,113.5
15,Minnesota Timberwolves,6,240.0,39.8,87.8,.454,11.5,31.7,.363,28.3,56.2,.504,23.5,32.3,.727,12.5,33.8,46.3,25.8,8.2,6.2,16.0,23.2,114.7
16,Denver Nuggets,5,240.0,42.0,81.6,.515,15.2,36.0,.422,26.8,45.6,.588,18.8,26.8,.701,7.0,28.8,35.8,28.6,9.4,6.2,13.0,23.2,118.0
